ident,type,name,iata,icao,iso_country,municipality,lat,lng
FMSV,small_airport,Betioky Airport,BKU,FMSV,MG,Betioky,-23.733,44.389
MG-DOA,small_airport,Doany Airport,DOA,MG-DOA,MG,Doany,-14.3681,49.5108
FMSG,small_airport,Farafangana Airport,RVA,FMSG,MG,Farafangana,-22.8053,47.8206
FMSF,medium_airport,Fianarantsoa Airport,WFI,FMSF,MG,Fianarantsoa,-21.4416,47.1117
FMSI,small_airport,Ihosy Airport,IHO,FMSI,MG,Ihosy,-22.40472,46.16494
FMMI,large_airport,Ivato International Airport,TNR,FMMI,MG,Antananarivo,-18.7969,47.4788
FMMH,small_airport,Mahanoro Airport,VVB,FMMH,MG,Mahanoro,-19.833,48.8
FMMO,small_airport,Maintirano Airport,MXT,FMMO,MG,Maintirano,-18.05,44.033
FMMC,small_airport,Malaimbandy Airport,WML,FMMC,MG,Malaimbandy,-20.35539,45.54337
FMNP,small_airport,Mampikony Airport,WMP,FMNP,MG,Mampikony,-16.07192,47.64295
FMSK,medium_airport,Manakara Airport,WVK,FMSK,MG,Manakara,-22.1197,48.0217
FMNC,medium_airport,Mananara Nord Airport,WMR,FMNC,MG,Mananara Nord,-16.1639,49.7738
FMSM,medium_airport,Mananjary Airport,MNJ,FMSM,MG,Mananjary,-21.2018,48.3583
FMSC,small_airport,Mandabe Airport,WMD,FMSC,MG,Mandabe,-21.0463,44.94041
FMNX,small_airport,Mandritsara Airport,WMA,FMNX,MG,Mandritsara,-15.84599,48.83472
FMSJ,small_airport,Manja Airport,MJA,FMSJ,MG,Manja,-21.4261,44.31651
FMNR,medium_airport,Maroantsetra Airport,WMN,FMNR,MG,Maroantsetra,-15.43774,49.68908
FMMN,medium_airport,Miandrivazo Airport,ZVA,FMMN,MG,Miandrivazo,-19.5628,45.4508
FMMR,small_airport,Morafenobe Airport,TVA,FMMR,MG,Morafenobe,-17.85008,44.92047
FMSR,medium_airport,Morombe Airport,MXM,FMSR,MG,Morombe,-21.75384,43.37475
FMMV,medium_airport,Morondava Airport,MOQ,FMMV,MG,Morondava,-20.2847,44.3176
FMNN,large_airport,Nosy Be International Airport,NOS,FMNN,MG,Nosy Be,-13.3121,48.3148
FMNG,small_airport,Port Bergé Airport,WPB,FMNG,MG,Port Bergé,-15.58429,47.62359
MG-0021,small_airport,Relais de la Reine Airport,RLR,MG-0021,MG,Isalo,-22.64534,45.32391
FMMS,medium_airport,Sainte Marie Airport,SMS,FMMS,MG,Vohilava,-17.0939,49.8158
FMSN,small_airport,Samangoky Airport,TDV,FMSN,MG,Tanandava,-21.7,43.733
FMNS,medium_airport,Sambava Airport,SVB,FMNS,MG,Sambava,-14.2786,50.1747
FMNO,small_airport,Soalala Airport,DWB,FMNO,MG,Soalala,-16.10169,45.35884
FMMU,small_airport,Tambohorano Airport,WTA,FMMU,MG,Tambohorano,-17.4761,43.9728
FMMT,large_airport,Toamasina Ambalamanasy Airport,TMM,FMMT,MG,Toamasina,-18.11354,49.39226
